Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population,Continent,Vaccines Rate,Death Rate,Recovery Rate
Norway,363554,1257,88952,273345,9150693,"5,483,651",Europe,49.3,0.35,24.47
Armenia,344126,7936,329576,6614,2516680,"2,971,400",Asia,118.4,2.31,95.77
Oman,304984,4113,300235,636,25000000,"5,297,505",Asia,47.4,1.35,98.44
 Herzegovina,286276,13224,192218,80834,1456145,"3,250,754",Europe,185.04,4.62,67.14
Bahrain,278875,1394,276672,809,7836847,"1,788,418",Asia,163.13,0.5,99.21
Singapore,276720,818,272675,3227,21098774,"5,918,081",Asia,163.23,0.3,98.54
Australia,273075,2173,225549,45353,52766521,"25,935,340",Australia/Oceania,161.58,0.8,82.6
Kenya,270899,5355,249557,15987,2955176,"55,512,712",Africa,17.05,1.98,92.12
Latvia,270158,4489,254890,10779,5553656,"1,855,470",Europe,124.4,1.66,94.35
Qatar,247082,614,244145,2323,3120513,"2,807,805",Asia,178.16,0.25,98.81
Estonia,234958,1899,219213,13846,2471303,"1,327,849",Europe,135.5,0.81,93.3
Nigeria,231413,2991,211853,16569,3686403,"213,649,175",Africa,6.55,1.29,91.55
Finland,227169,1504,46000,179665,8456299,"5,553,397",Europe,167,0.66,20.25
North Macedonia,222064,7853,208938,5273,1558639,"2,083,248",Europe,83.6,3.54,94.09
Zambia,221880,3685,207709,10486,2851157,"19,140,443",Africa,5.36,1.66,93.61
Algeria,215430,6205,148217,61008,230861,"45,015,735",Africa,28.36,2.88,68.8
Albania,206616,3180,198263,5173,1448218,"2,873,168",Europe,78.4,1.54,95.96
Botswana,204701,2425,193454,8822,1985958,"2,421,451",Africa,48.62,1.18,94.51
Zimbabwe,199404,4828,147669,46907,1797506,"15,181,278",Africa,47.18,2.42,74.06
Uzbekistan,197753,1471,194635,1647,1377915,"34,182,921",Asia,100,0.74,98.42
China,100644,4636,94185,1823,160000000,"1,439,323,776",Asia,181.72,4.61,93.58
